customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-10000,Male,0,No,No,27,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),59.48,1628.75,0
CUST-10001,Female,0,Yes,Yes,26,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,68.48,1813.12,0
CUST-10002,Female,0,No,No,72,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),118.75,8543.81,1
CUST-10003,Male,0,Yes,No,53,Yes,Yes,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,37.49,2008.76,0
CUST-10004,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),93.63,5834.97,1
CUST-10005,Female,0,No,Yes,56,Yes,No,No,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,39.44,2332.28,1
CUST-10006,Male,0,Yes,No,34,Yes,Yes,No,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,45.32,1454.78,0
CUST-10007,Female,0,No,No,57,Yes,No,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,No,Bank transfer (automatic),51.37,2948.39,0
CUST-10008,Male,0,No,No,46,Yes,Yes,DSL,Yes,No,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,100.5,4659.15,1
CUST-10009,Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),61.95,3360.14,0
CUST-10010,Female,0,Yes,Yes,21,No,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,99.09,2131.45,1
CUST-10011,Female,1,No,No,16,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No internet service,Two year,Yes,Electronic check,78.88,1309.97,1
CUST-10012,Female,0,No,No,13,No,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),84.45,1115.69,0
CUST-10013,Female,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,Yes,Yes,Two year,Yes,Mailed check,101.73,2131.28,0
CUST-10014,Female,0,No,No,71,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),99.72,6977.33,0
CUST-10015,Female,0,No,No,68,No,No,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,63.44,4422.74,0
CUST-10016,Female,1,No,No,10,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),66.74,552.27,1
CUST-10017,Male,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Mailed check,95.57,3856.11,0
CUST-10018,Female,0,No,Yes,68,Yes,No,Fiber optic,Yes,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,89.11,6079.06,0
